question,code,difficulty,category
Describe process of Incineration' and list the different types of Incinerator.(3+2)  ,13-A,MEDIUM,SE
Enumerate the sources of health-care wastes. Enumerate the hazards of health-care wastes.   (3+5)  ,13-A,LOW,SE
Name the type of bag or container uSEd to dispoSE a) Expired or discarded medicines b) Waste sharps including metals. Mention the treatment and dispoSAl techniques for the SAme. (3+2),13-A,MEDIUM,SE
List THREE Hazards of health-care waste.,13-A,LOW,SA
Illustrate an incinerator with a fLOW diagram.  ,13-A,MEDIUM,SA
List the bio-medical waste types that are NOT to be incinerated.,13-A,MEDIUM,SA
Define Inertization.,13-A,LOW,SA
"List the types of wastes included in the YelLOW category under the new Bio-Medical Waste Management RuLEs, 2016.",13-A,MEDIUM,SA
List the dispoSAl methods of bio-medical waste generated in houSEholds .,13-A,HIGH,SA
Mention the average composition of hospital waste in India.,13-A,MEDIUM,SA
"List the treatment and dispoSAl options for cytotoxic drugs under the new Bio-Medical Waste Management RuLEs, 2016.",13-A,MEDIUM,SA
Define DiSAster. Explain the DiSAster cycLE. (2+3),14-A,MEDIUM,SE
Explain the importance of 'Triage' in DiSAster Management.,14-A,LOW,SE
What is diSAster preparedness? List the components of diSAster preparedness. (2+3),14-A,LOW,SE
Define diSAster. Classify diSAsters with exampLEs. (1+4),14-A,MEDIUM,SE
List the health/medical activities involved in diSAster mitigation.,14-A,LOW,SE
What are man-made diSAsters? Give three exampLEs. (2+3),14-A,MEDIUM,SE
What is diSAster mitigation? Mention the steps in diSAster mitigation. (2+3),14-A,MEDIUM,SE
Discuss the short-term effects of diSAster.,14-A,MEDIUM,SE
Mention the importance of triage in DiSAster Management.,14-A,LOW,SA
Draw a neat labelLEd diagram of DiSAster CycLE.,14-A,LOW,SA
Define diSAster. Give TWO exampLEs for man-made diSAsters.,14-A,LOW,SA
Enumerate the steps in diSAster mitigation.,14-A,MEDIUM,SA
Define Health Planning. Illustrate the Health planning cycLE with the help of a diagram and discuss the steps involved in it. (2+4+4).,20-A,MEDIUM,LE
Define Health Planning. Illustrate the Health planning cycLE with the help of a diagram. (1+4),20-A,LOW,SE
Classify and enumerate various health management techniques.,20-A,HIGH,SE
Differentiate between PERT and CPM. ,20-A,HIGH,SE
Differentiate between cost benefit and cost effective studies. ,20-A,MEDIUM,SE
What is PERT? List the advantages of it. (3+2),20-A,MEDIUM,SE
Discuss PERT with the help of a diagram.,20-A,HIGH,SE
What is meant by PPBS?,20-A,HIGH,SA
List THREE differences between Cost benefit analysis and Cost effective analysis.,20-A,LOW,SA
What is Network analysis? List the types of network analysis.,20-A,LOW,SA
Describe the recommendations of Bhore Committee.,20-B,HIGH,SE
Explain the three tier Panchayati Raj system in India.,20-B,MEDIUM,SE
Enumerate the SAlient points of National Health Policy.,20-B,MEDIUM,SE
List THREE recommendations of Bhore Committee.,20-B,MEDIUM,SA
Enumerate any THREE targets of National Health Policy.,20-B,MEDIUM,SA
Mention the importance of Evaluation in health planning.,20-B,LOW,SA
Define Primary Health Care. Explain the principLEs of Primary Health Care with suitabLE exampLEs. (2+8),21-A,MEDIUM,LE
Define Primary Health Care. Discuss the eLEments of primary health care.  (2+8),21-A,MEDIUM,LE
What is interSEctoral coordination in Primary Health Care? Describe the SAme using exampLE from any National Health Programme.(2+3),21-A,MEDIUM,SE
Explain the term Comprehensive Health Care    ,21-A,MEDIUM,SE
Define Primary Health Care. What are the eLEments of primary health care?(2+3),21-A,LOW,SE
Define Primary Health Care and  briefly discuss the principLEs of  Primary Health Care. (1+4),21-A,LOW,SE
Describe Appropriate Technology in Primary Health Care quoting suitabLE exampLEs.,21-A,MEDIUM,SE
Describe the Primary Health Care in India.,21-A,LOW,SE
Mention the principLEs of Primary Health Care.,21-A,LOW,SA
Descibe health care delivery model in India.,21-A,MEDIUM,SA
Describe the 3-tier system of health care,21-B,MEDIUM,SE
Describe Health Care Delivery Systems in India,21-B,LOW,SE
Mention the LEvels of health care in India,21-B,MEDIUM,SA
What is an anganwadi? List the functions of an anganwadi worker.(2+3),21-B,MEDIUM,SE
Mention the staff profiLE of a Primary Health Centre? Describe the  important job functions of the Medical Officer in-charge of a Primary Health Centre.  (3+7),21-B,MEDIUM,LE
What is comprehensive health care? Explain its incorporation in the functioning of a primary health centre?,21-B,MEDIUM,LE
Describe the functions of Voluntary Health Agencies,21-B,LOW,SE
Describe the principLEs of Primary Health Care with suitabLE exampLEs.,21-B,LOW,SE
Describe the roLE of Voluntary Health Organizations in health care,21-B,LOW,SE
Discuss the functions of ASHA,21-B,LOW,SE
Discuss various functions of Primary Health Centre,21-B,LOW,SE
Mention various roLEs and responsibilities of Medical Officer of PHC,21-B,MEDIUM,SE
Describe the functions of Health Worker FemaLE.,21-B,MEDIUM,SE
Describe functions of  Medico Social Worker in Health of the Community,21-B,HIGH,SE
Who are the beneficiaries of Anganwadi? What are the functions of Anganwadi Worker(2+3),21-B,LOW,SE
What are the objectives and functions of Indian Red Cross Society. (2+3),21-B,LOW,SE
Describe the jobs of an ANM.,21-B,LOW,SE
What are the functions of Voluntary Health Agencies.,21-B,MEDIUM,SE
What are Unilateral and Bilateral Health Agencies? Write two exampLEs of each.,21-B,HIGH,SA
Describe the functions of UNICEF ,22-A,MEDIUM,SE
Enumerate the Functions of WHO.,22-A,LOW,SE
Expand UNICEF. Describe the activities of UNICEF in India. (1+4),22-A,MEDIUM,SE
List THREE functions of ILO. ,22-A,LOW,SA
List the SIX regions of WHO. ,22-A,MEDIUM,SA
List SIX functions of WHO.,22-A,LOW,SA
Expand GOBI FFF.,22-A,LOW,SA
What is the roLE of UNICEF in child survival?,22-A,MEDIUM,SA
List RockfelLEr foundation's contribution to India.,22-A,MEDIUM,SA
List the activities of International Red Cross. ,22-A,LOW,SA
What is the roLE of World Bank in the field of Health?,22-A,MEDIUM,SA
List Ford foundation's contribution to India,22-A,MEDIUM,SA
What is the roLE of Indian Red Cross?,22-A,MEDIUM,SA
Describe the epidemiology of measLEs. What are preventive and control measures of measLEs? (5+5),5-A,MEDIUM,LE
Describe the diagnosis of pulmonary tuberculosis and the RNTCP alternate day regimen recommended for management of tuberculosis? (5+5)   ,5-A,MEDIUM,LE
Describe the probLEm of tuberculosis in India. Describe the natural history of diSEaSE and control measures for tuberculosis. (3+3+4),5-A,MEDIUM,LE
Describe the WHO strategy for elimination of measLEs.,5-A,MEDIUM,SE
Describe the complications of measLEs.,5-A,MEDIUM,SE
Describe the strategies adopted for measLEs rubella vaccination in India.,5-A,HIGH,SE
Describe the epidemiology of Diphtheria.,5-A,MEDIUM,SE
Describe the complications of diphtheria. Mention the preventive strategies of diphtheria?,5-A,HIGH,SE
What is congenital rubella syndrome? What are the preventive measures of congenital rubella?,5-A,MEDIUM,SE
Mention the common adverSE effects of DPT vaccination.,5-A,LOW,SA
What is DOTS therapy in tuberculosis and its significance in the control of tubercuLOWsis?,5-A,LOW,SE
" Describe the components of ""STOP TB"" strategy.",5-A,MEDIUM,SE
Describe antigenic variations of influenza virus. Explain the caSE management of H1N1.,5-A,HIGH,SE
Describe the caSE management of H1N1 during pandemic.,5-A,MEDIUM,SE
Describe the WHO phaSEs of pandemic influenza.,5-A,HIGH,SE
What do you mean by Antigenc shift and Antigenic drift?,5-A,LOW,SA
What is MDR tuberculosis? List the reasons for increaSE in MDRTB in India. ,5-A,MEDIUM,SE
What are the faeco orally transmitted diSEaSEs? How will you prevent them? ,5-B,LOW,SE
"Describe epidemiological determinants of Poliomyelitis. Explain the ""End Game Strategy"" in polio eradication.  (5+5)",5-B,MEDIUM,LE
Enumerate pathogens causing hepatitis. What are the epidemiological determinants of Hepatitis A?  What are its preventive and control measures(2+4+4),5-B,LOW,LE
Describe the epidemiological determinants of Hepatitis B and its prevention and control. (5+5),5-B,LOW,LE
Describe the epidemiological determinants of ChoLEra and its prevention and control. (5+5),5-B,LOW,LE
Describe the epidemiological determinants of diarrhoeal diSEaSEs and the measures to control diarrhoeal diSEaSEs. (5+5),5-B,LOW,LE
Describe Acute flaccid paralysis (AFP) Surveillance. ,5-B,HIGH,SE
Describe epidemiological determinants of poliomyelitis. ,5-B,LOW,SE
Describe the epidemiological investigation of a caSE of poliomyelitis.,5-B,MEDIUM,SE
Describe the preventive measures for poliomyelitis. ,5-B,LOW,SE
What is cold chain? Explain the cold chain maintenance of polio vaccines at the LEvel of PHC and vaccination SEssion site. ,5-B,MEDIUM,SE
Explain strategies for polio eradication in India.,5-B,HIGH,SE
Describe the Polio Endgame Strategic Plan 2013 2018. ,5-B,HIGH,SE
What is Accute Flaccid Paralysis (AFP)?  Describe the procedure for stool colLEction and transportation in a caSE of AFP.,5-B,MEDIUM,SE
Describe the Global Polio Eradication Initiatives. ,5-B,MEDIUM,SE
Describe post exposure prophylaxis in Hepatitis B infection,5-B,MEDIUM,SE
Explain in detail about the modes of transmission of Hepatitis B. ,5-B,LOW,SE
What measures are to be taken to prevent students in health care SEttings from contracting Hepatitis B infection?,5-B,MEDIUM,SE
What is Vaccine derived poliomyelitis?,5-B,HIGH,SA
What is Vaccine associated paralytic polio (VAPP)?,5-B,HIGH,SA
What are the rationaLE for PulSE polio immunization in elimination of poliomyelitis from India.,5-B,MEDIUM,SA
What is the roLE of SuppLEmentary Immunization Activity (SIA) in Poliomyelitis?,5-B,MEDIUM,SA
Describe the Clinical spectrum of poliomyelitic infection.,5-B,MEDIUM,SA
What is food poisoning? Mention the organisms causing it. What are the preventive measures? (2+2+6),5-B,LOW,LE
Describe epidemiology of enteric fever. Explain preventive strategies to control spread of enteric fever. (5+5),5-B,LOW,LE
Enumerate the soil transmitted helminthes and mention its control measures. (4+6),5-B,LOW,LE
