Enumerate the various methods of assessment of nutritional status. Describe the assessment of dietary intake by household survey method. (4+6),10-A,MEDIUM,LE
Describe the ecological factors and the methods of nutritional status assessment of malnutrition.(5+5),10-A,MEDIUM,LE
Describe the methods for assessment of nutritional status.,10-A,MEDIUM,SE
Describe the methods of assessment of dietary intake.,10-A,MEDIUM,SE
Mention the anthropometric measurements used for assessing the nutritional status of the children.,10-A,MEDIUM,SE
Describe the IAP classification for nutritional assessment.,10-A,LOW,SE
What is trans fat? Describe its effect on human body. (1+4),10-A,MEDIUM,SE
What is food pyramid? Discuss its importnance. (2+3) ,10-A,MEDIUM,SE
Mention THREE important sources of essential fatty acids.,10-A,MEDIUM,SA
Mention the micronutrients in nutrition.,10-A,LOW,SA
What is suppLEmentary nutrition?,10-A,LOW,SA
Enumerate the methods used in nutritional status assessment.,10-A,MEDIUM,SA
What is Balanced Diet?,10-A,LOW,SA
What is an Indian Reference Man and Woman?,10-A,MEDIUM,SA
What is Glycaemic Index? List two foods which are having LOW glycemic index.,10-A,MEDIUM,SA
Mention additional nutritional requirement for Pregnancy and Lactation.,10-A,MEDIUM,SA
Mention the signs of vitamin A deficiency.Explain the measures taken to prevent this. (2+3),10-B,LOW,SE
Discuss Endemic fluorosis and its preventive measures. (3+2),10-B,LOW,SE
Mention the causes of protein energy malnutrition in India.,10-B,LOW,SE
Enumerate the causes of Thiamine deficiency.,10-B,LOW,SA
Describe the epidemiology of Iron deficiency anaemia in the country. What are the various prevention & control strategies? (5+5),10-B,MEDIUM,LE
Classify Protein energy malnutrition. Describe the prevention and control of Protein energy malnutrition.(4+6),10-B,MEDIUM,LE
Discuss the deficiency manifestations of Vitamin A.,10-B,LOW,SA
Enumerate the prevention measures of vitamin D deficiency.,10-B,MEDIUM,SA
What is nutritional anemia? ,10-B,LOW,SA
Mention the health benefits of iodized salt.,10-B,MEDIUM,SA
Mention the iodine deficiency disorders.,10-B,MEDIUM,SA
Mention the effect of fluoride content of water on health.,10-B,MEDIUM,SA
What is Nalgonda Technique?,10-B,MEDIUM,SA
Mention the toxin which causes neurolathyrism. Explain the prevention of neurolathyrism.,10-B,MEDIUM,SE
Classify and describe the food borne diseases.,10-B,MEDIUM,SE
Enumerate Food toxins and describe  the diseases caused by them. (2+3),10-B,LOW,SE
"Describe the cause, symptoms and prevention of Epidemic Dropsy. (2+3)",10-B,MEDIUM,SE
Describe the control of under-nutrition in children at the different LEvels of prevention.,10-B,MEDIUM,SE
Mention about Pastuerisation of Milk and tests for Pastuerisation. (2+3),10-C,MEDIUM,SE
What is HTST method of pasteurization of milk?,10-C,MEDIUM,SA
