Describe the anatomy of middle ear and explain the middle ear transformer mechanism    (5+5),1-A,MEDIUM,LE
"Describe the anatomy of inner ear and explain the formation, contents and absorption of inner ear fluids   (5+3+2)",1-A,MEDIUM,LE
Describe the anatomy of facial nerve and enumerate the surgical landmarks for facial nerve at various levels (6+4),1-A,MEDIUM,LE
Describe the anatomy of Eustachian tube and explain its clinical significance (5+5),1-A,MEDIUM,LE
 Describe the boundaries and contents of middle ear (3+2),1-A,LOW,SE
 Describe the anatomy of middle ear cleft,1-A,MEDIUM,SE
Describe the anatomy of inner ear,1-A,MEDIUM,SE
Describe the anatomy and embryology of external ear (3+2),1-A,MEDIUM,SE
Enumerate the structures derived from first branchial arch and mention their nerve supply  (3+2),1-A,MEDIUM,SE
Trace out the course of Facial nerve in temporal bone,1-A,MEDIUM,SE
Describe the nerve supply of external ear,1-A,LOW,SE
Enumerate the mastoid air cells and list out the theories of pneumatisation of mastoid (2+3),1-A,HIGH,SE
Describe the anatomy of tympanic membrane,1-A,LOW,SE
"Describe the origin , insertion and nerve supply of muscles acting on Eustachian tube (3+2)",1-A,HIGH,SE
Describe the anatomy of organ of corti,1-A,MEDIUM,SE
Describe the compartments and contents of internal auditory canal (3+2),1-A,HIGH,SE
Enumerate the component and contents of Middle ear cleft,1-A,LOW,SA
Enumerate the boundries of Prussak's space and mention its clinical significance  (2+1),1-A,MEDIUM,SA
Enumerate Mastoid air cells (3),1-A,LOW,SA
Draw neat labelled diagram of Tympanic membrane (3),1-A,LOW,SA
Enumerate the boundaries of Mc Ewen's triangle and HIGHlight its significance (2+1),1-A,MEDIUM,SA
Enumerate the causes of Microtia. And mention the treatment approches. (1.5+1.5),1-A,MEDIUM,SA
Draw a labelled diagram showing Anatomy of Medial wall of Middle ear  (3),1-A,MEDIUM,SA
List out the steps in management of Anotia (3),1-A,MEDIUM,SA
Enumerate the boundries of Facial recess and HIGHlight its significance (2+1),1-A,HIGH,SA
Enumerate various Inner ear fluids and mention where they are produced and absorbed (1+2),1-A,HIGH,SA
Enumerate Ossicles in middle ear and draw a diagram of osscicular chain (1+2),1-A,LOW,SA
What is Jacobson's Nerve? HIGHlight its clinical significance (1+2),1-A,LOW,SA
What is Arnold's Nerve? HIGHlight its clinical significance (1+2),1-A,LOW,SA
"Mention the location, components, and clinical significance of Tympanic Plexus (1+1+1)",1-A,MEDIUM,SA
What is Fissure of Santorini? HIGHlight its clinical significance. Mention its counterpart in children (1+1+1),1-A,HIGH,SA
What is Korner's septum? HIGHlight its clinical significance (1+2),1-A,MEDIUM,SA
What is Spine of Henle? HIGHlight its clinical significance (1.5+1.5),1-A,LOW,SA
Outline the Blood supply to inner ear ,1-A,HIGH,SA
Anatomy of Stapes,1-A,LOW,SA
Anatomy of Ossicular chain,1-A,MEDIUM,SA
Enumerate the branches of facial nerve,1-A,LOW,SA
Describe the Mechanism by which sound energy is converted to electric impulse in ear. ,1-B,MEDIUM,LE
Describe the Physiology of hearing ,1-B,LOW,LE
Describe the pathway of hearing (Afferent & Efferent),1-B,MEDIUM,LE
Describe the physiology of balance and HIGHlight the vestibular pathway. (7+3),1-B,MEDIUM,LE
Describe the tests for vestibular function.,1-B,MEDIUM,LE
Describe the physiology of balance,1-B,MEDIUM,SE
Trace the sound wave pathway from external auditory canal to round window membrane,1-B,MEDIUM,SE
Describe theories of hearing,1-B,LOW,SE
Define recruitment and explain the mechanism of recruitment (2+3),1-B,MEDIUM,SE
Describe the phenomenon of Stapedial reflex,1-B,MEDIUM,SE
List out the differences between central and peripheral vertigo,1-B,MEDIUM,SE
Describe the various tuning fork tests,1-B,LOW,SE
"Describe the principle, procedure and inference of caloric tests. (1+2+2)",1-B,MEDIUM,SE
Describe the Topodiagnostic tests for facial nerve palsy,1-B,HIGH,SE
With a diagram of audiometric chart describe the procedure and inferences of pure tone audiometry (2+3),1-B,MEDIUM,SE
Describe various graphs in tympanometry and HIGHlight their significance (3+2),1-B,LOW,SE
Describe the procedure of pure tone audiometry. Outline the graph obtained for various deafness. (3+2),1-B,MEDIUM,SE
Enumerate the tests for recruitment and describe one of them in detail. (2+3),1-B,MEDIUM,SE
Mention the principle and inferences in Rinne's test. In which condition do you get false negative Rinne's. (1+1+1),1-B,LOW,SA
Define Recruitment and enumerate a few tests for it. (1+2),1-B,MEDIUM,SA
What is Schwabach's test? Enumerate the inferences of this test. (1+2),1-B,MEDIUM,SA
What is the principle of Absolute bone conduction test?  Enumerate the inferences of this test. (1+2) ,1-B,LOW,SA
What is Gelle's Test?  Enumerate the inferences of this test. (1+2),1-B,MEDIUM,SA
What is Weber's test? Enumerate the inferences of this test. (1+2),1-B,LOW,SA
Explain  Kobrak's test and HIGHlight its use (2+1),1-B,MEDIUM,SA
How do you perform Hallpike test. In which condition is it positive? (2+1),1-B,MEDIUM,SA
How do you perform Hallpike maneuvre.  In which condition is it positive? (2+1),1-B,MEDIUM,SA
