Define Inquest. Mention the types of inquest. Describe in detail about police inquest. 2+2+6,1-A,LOW,LE
Explain the procedure of recording dying declaration. Enumerate the differences between dying declaration and dying deposition. 2+4+4,1-D,LOW,LE
Discuss in detail about police inquest.,1-A,LOW,SE
Explain in detail about magistrate inquest.,1-A,LOW,SE
Discuss in detail about summons.,1-C,LOW,SE
What should a doctor do if he receives summons from two courts for the same day.,1-C,LOW,SA
Define evidence. Briefly explain the three types of documentary evidences.1+9,1-D,MEDIUM,LE
List the exceptions to oral evidence.,1-D,MEDIUM,SE
Enumerate the three types of documentary evidences. Add a note on dying deposition.6+4,1-D,MEDIUM,LE
Explain in detail about medicolegal reports.,1-D,LOW,SE
Describe the recording and medicolegal significance of dying declaration. 2+3,1-D,LOW,SE
Mention the two types of witnesses in a court of law. Add a note on hostile witness.2+3,1-E,LOW,SE
Explain in detail about expert witness.,1-E,MEDIUM,SE
Describe the procedure of recording of evidence of doctor in court of law.,1-D,HIGH,LE
Mention four types of criminal courts in India. Add a note on sessions court. 2+3,1-B,MEDIUM,SE
Briefly mention the powers of different classes of magistrate. ,1-B,LOW,SA
Define capital punishment. Mention the various methods of carrying out capital punishment. 1+2,1-B,HIGH,SA
Define cognizable offence. List four examples under which a person can be booked under this offence.1+2,1-B,LOW,SA
Briefly explain conduct money.,1-C,LOW,SA
Briefly explain hearsay evidence.,1-D,LOW,SA
Explain hostile witness.,1-E,LOW,SA
Explain perjury.,1-E,LOW,SA
What is cross examination. Mention six objectives of cross-examination.1+4,1-F,LOW,SE
Mention the conduct and duties of the doctor in the witness box. 2+3,1-G,MEDIUM,SE
Describe the objectives of investigation of scene of death.,1-H,HIGH,SE
Define infamous conduct. Explain with suitable examples. Explain how state medical council can take disciplinary action in infamous conduct.2+2+6,2-E,MEDIUM,LE
Explain the term medical negligence and its ingredients. What are the defences that should be put forth by a doctor when charged with negligence.2+2+6,2-E,HIGH,LE
Describe civil and criminal negligence with suitable examples. Describe the precautions to be taken by a doctor to avoid a charge of negligence.3+3+4,2-E,MEDIUM,LE
Describe civil and criminal negligence with suitable examples. How a doctor can defend himself against a charge of negligence. 3+3+4,2-E,HIGH,LE
Describe the five functions of Indian medical council.,2-A,MEDIUM,SE
Describe the duties of medical practitioner.,2-C,MEDIUM,SE
Describe the two functions of state medical council.,2-A,LOW,SE
Discuss the defences against medical negligence by doctors.,2-E,LOW,SE
Describe five examples of serious professional misconduct.,2-E,MEDIUM,SE
Describe in detail about warning notice.,2-B,HIGH,SE
Explain professional secrecy with suitable examples.2+3,2-A,MEDIUM,SE
Define privileged communication. Describe with suitable examples.2+3,2-D,HIGH,SE
Define professional negligence. Mention the types of professional negligence. Describe in detail  about civil negligence.2+4+4,2-E,MEDIUM,LE
Define and classify medical negligence. Add a note on respondeat superior. 1+2+2,2-E,MEDIUM,SE
