1-A,Legal Procedure,Inquest
1-B,Legal Procedure,Courts of law
1-C,Legal Procedure,"Summons,Conduct money"
1-D,Legal Procedure,Medical evidence
1-E,Legal Procedure,Witness
1-F,Legal Procedure,Record of evidence
1-G,Legal Procedure,Procedure of criminal trail
1-H,Legal Procedure,Investigation of scene of death
2-A,Medical Law and Ethics,"Law relating to medical practice, IMC, SMC"
2-B,Medical Law and Ethics,Warning notice
2-C,Medical Law and Ethics,Rights and Duties of RMP
2-D,Medical Law and Ethics,Priviliged communication
2-E,Medical Law and Ethics,Professional Negligence
2-F,Medical Law and Ethics,Consent
2-G,Medical Law and Ethics,Euthanasia
2-H,Medical Law and Ethics,Malingering
3-A,Identification,Corpus Delicti
3-B,Identification,Identification Data
3-C,Identification,Age estimation
3-D,Identification,Medicolegal importance of age
3-E,Identification,Stature
3-F,Identification,Finger and Lip prints
3-G,Identification,Superimpostion
3-H,Identification,Scars
3-I,Identification,Tatoo and occupational marks
3-J,Identification,Hair
3-K,Identification,Forensic odontology
4-A,Medicolegal autopsy,"Definition,objectives and rules of medicolegal autopsy"
4-B,Medicolegal autopsy,Autopsy protocol - External examination
4-C,Medicolegal autopsy,Autopsy protocol - Internal examination
4-D,Medicolegal autopsy,Virtual autopsy
4-E,Medicolegal autopsy,Psychological autopsy
4-F,Medicolegal autopsy,Autopsy on decomposed bodies
4-G,Medicolegal autopsy,Examination of bones
4-H,Medicolegal autopsy,Exhumation
4-I,Medicolegal autopsy,Second autopsy
4-J,Medicolegal autopsy,Preservation of viscera
4-K,Medicolegal autopsy,AIDS
5-A,Death and its cause,Define and classify death
5-B,Death and its cause,Criteria for determing brain death
5-C,Death and its cause,Asphyxia
5-D,Death and its cause,Negative autopsy
5-E,Death and its cause,Obsure autopsy
5-F,Death and its cause,Vagal inhibition
5-G,Death and its cause,Sudden Death
6-A,Postmortem changes,Classify changes following death
6-B,Postmortem changes,Suspended animation
6-C,Postmortem changes,Changes in eye
6-D,Postmortem changes,Algor mortis
6-E,Postmortem changes,Postmortem hypostasis
6-F,Postmortem changes,Rigor mortis
6-G,Postmortem changes,Decompostion
6-H,Postmortem changes,Preserving the dead body
6-I,Postmortem changes,Estimation of postmortem interval
7-A,Mechanical injuries,Define and classify injuries
7-B,Mechanical injuries,Abrasions
7-C,Mechanical injuries,Contusions
7-D,Mechanical injuries,Lacerations
7-E,Mechanical injuries,Incised wound
7-F,Mechanical injuries,Chop wounds
7-G,Mechanical injuries,Stab/punctured wound
7-H,Mechanical injuries,Self inflicted and Fabricated wound
7-I,Mechanical injuries,"Define Forensiic Ballistics,Classify fire arms"
7-J,Mechanical injuries,Wounds from shot guns
7-K,Mechanical injuries,Wounds from revolvers and automatic pistols
7-L,Mechanical injuries,Wounds from rifle
